iter	Passed	Remaining
0	157	314064
1	169	169492
2	182	121574
3	195	97616
4	209	83650
5	221	73475
6	231	65945
7	242	60337
8	253	56186
9	265	52893
10	276	49979
11	290	48193
12	304	46494
13	317	45022
14	330	43787
15	342	42432
16	354	41295
17	397	43730
18	411	42854
19	422	41858
20	434	40904
21	446	40151
22	459	39494
23	488	40222
24	500	39572
25	512	38900
26	525	38401
27	536	37808
28	548	37288
29	560	36823
30	571	36326
31	584	35941
32	597	35643
33	611	35354
34	624	35041
35	635	34689
36	646	34316
37	659	34040
38	673	33854
39	685	33568
40	699	33429
41	714	33308
42	725	33032
43	737	32779
44	749	32546
45	760	32317
46	774	32177
47	785	31928
48	797	31748
49	810	31611
50	823	31452
51	833	31241
52	848	31167
53	858	30952
54	871	30828
55	883	30652
56	895	30515
57	907	30369
58	918	30224
59	931	30107
60	943	29993
61	958	29963
62	973	29933
63	986	29849
64	999	29742
65	1012	29655
66	1023	29523
67	1038	29491
68	1049	29374
69	1061	29272
70	1073	29168
71	1085	29063
72	1097	28973
73	1110	28895
74	1122	28810
75	1137	28802
76	1152	28788
77	1164	28686
78	1178	28644
79	1190	28567
80	1203	28514
81	1215	28439
82	1226	28334
83	1238	28257
84	1253	28249
85	1266	28188
86	1276	28070
87	1289	28007
88	1300	27932
89	1311	27842
90	1323	27768
91	1335	27701
92	1349	27672
93	1364	27670
94	1375	27574
95	1386	27501
96	1401	27486
97	1413	27431
98	1424	27349
99	1437	27306
100	1450	27280
101	1463	27238
102	1475	27181
103	1485	27090
104	1497	27033
105	1509	26974
106	1521	26921
107	1536	26922
108	1553	26956
109	1568	26953
110	1588	27035
111	1604	27045
112	1621	27069
113	1633	27019
114	1647	27007
115	1662	27002
116	1680	27052
117	1695	27049
118	1709	27027
119	1723	27009
120	1735	26957
121	1746	26891
122	1760	26866
123	1773	26834
124	1787	26812
125	1800	26774
126	1812	26733
127	1827	26728
128	1840	26695
129	1852	26645
130	1864	26598
131	1877	26568
132	1890	26541
133	1905	26537
134	1918	26504
135	1931	26470
136	1945	26452
137	1960	26451
138	1975	26444
139	1989	26434
140	2003	26417
141	2017	26393
142	2032	26390
143	2046	26375
144	2059	26346
145	2072	26313
146	2084	26279
147	2098	26262
148	2112	26247
149	2126	26229
150	2138	26189
151	2151	26152
152	2163	26116
153	2175	26072
154	2186	26031
155	2200	26008
156	2213	25986
157	2228	25977
158	2241	25951
159	2253	25913
160	2265	25874
161	2279	25862
162	2292	25838
163	2306	25820
164	2319	25796
165	2333	25776
166	2348	25778
167	2362	25763
168	2375	25739
169	2389	25720
170	2400	25678
171	2411	25630
172	2431	25676
173	2444	25655
174	2458	25638
175	2470	25607
176	2483	25580
177	2496	25550
178	2513	25565
179	2527	25555
180	2540	25535
181	2556	25536
182	2571	25527
183	2586	25530
184	2602	25530
185	2616	25518
186	2632	25521
187	2643	25481
188	2655	25447
189	2669	25430
190	2683	25414
191	2699	25415
192	2713	25408
193	2725	25375
194	2738	25348
195	2752	25330
196	2765	25309
197	2778	25286
198	2791	25265
199	2804	25244
200	2816	25210
201	2829	25185
202	2842	25161
203	2855	25139
204	2867	25108
205	2878	25071
206	2891	25042
207	2904	25023
208	2916	24995
209	2931	24990
210	2944	24965
211	2958	24950
212	2972	24935
213	2985	24918
214	2996	24876
215	3008	24847
216	3020	24816
217	3033	24793
218	3044	24760
219	3057	24737
220	3071	24724
221	3086	24716
222	3098	24692
223	3112	24675
224	3124	24646
225	3136	24619
226	3148	24591
227	3161	24571
228	3169	24514
229	3182	24495
230	3195	24468
231	3207	24440
232	3220	24422
233	3232	24393
234	3243	24358
235	3254	24322
236	3266	24300
237	3278	24271
238	3291	24253
239	3305	24242
240	3316	24209
241	3327	24175
242	3339	24147
243	3353	24132
244	3367	24119
245	3381	24108
246	3394	24089
247	3406	24062
248	3417	24030
249	3429	24004
250	3441	23977
251	3451	23943
252	3464	23920
253	3476	23894
254	3490	23882
255	3502	23859
256	3513	23830
257	3526	23810
258	3539	23792
259	3550	23762
260	3563	23740
261	3574	23711
262	3587	23693
263	3598	23664
264	3612	23650
265	3625	23631
