attribute,count
Item Name and Value,75000
Item Name and Unit,75000
Item Name and Unit and Value,75000
Unit and Value,75000
Bullet Point and Value,60723
Bullet Point and Item Name,60723
Bullet Point and Unit,60723
Bullet Point and Item Name and Value,60723
Bullet Point and Item Name and Unit,60723
Bullet Point and Unit and Value,60723
Bullet Point and Item Name and Unit and Value,60723
Item Name and Product Description,32533
Product Description and Unit,32533
Product Description and Value,32533
Item Name and Product Description and Unit and Value,32533
Product Description and Unit and Value,32533
Item Name and Product Description and Value,32533
Item Name and Product Description and Unit,32533
Bullet Point and Product Description and Value,28284
Bullet Point and Product Description and Unit,28284
Bullet Point and Item Name and Product Description,28284
Bullet Point and Product Description,28284
Bullet Point and Item Name and Product Description and Unit,28284
Bullet Point and Item Name and Product Description and Value,28284
Bullet Point and Product Description and Unit and Value,28284
Bullet Point and Item Name and Product Description and Unit and Value,28284
