iter	Passed	Remaining
0	13	13807
1	25	12509
2	37	12336
3	47	11798
4	58	11582
5	72	11954
6	83	11824
7	95	11808
8	109	12028
9	120	11951
10	130	11771
11	141	11670
12	153	11655
13	164	11555
14	174	11453
15	185	11405
16	195	11280
17	208	11356
18	219	11352
19	232	11391
20	243	11330
21	254	11301
22	267	11367
23	277	11277
24	288	11238
25	298	11177
26	308	11113
27	318	11061
28	328	10998
29	338	10945
30	348	10902
31	359	10870
32	369	10829
33	381	10830
34	391	10807
35	402	10769
36	412	10732
37	422	10694
38	432	10655
39	443	10633
40	453	10605
41	463	10566
42	473	10535
43	484	10531
44	494	10502
45	505	10493
46	516	10465
47	526	10448
48	536	10413
49	547	10400
50	560	10429
51	572	10436
52	583	10419
53	595	10429
54	607	10434
55	617	10404
56	629	10411
57	641	10419
58	652	10405
59	666	10437
60	679	10457
61	691	10466
62	701	10433
63	712	10419
64	721	10384
65	731	10344
66	740	10315
67	750	10290
68	761	10269
69	772	10257
70	782	10235
71	792	10214
72	802	10188
73	812	10166
74	824	10164
75	833	10139
76	844	10120
77	853	10085
78	863	10067
79	873	10050
80	884	10032
81	894	10017
82	904	9997
83	914	9972
84	924	9948
85	933	9922
86	944	9911
87	954	9890
88	963	9863
89	973	9848
90	984	9830
91	995	9826
92	1006	9817
93	1016	9795
94	1026	9776
95	1038	9774
96	1047	9751
97	1057	9734
98	1067	9714
99	1077	9697
100	1087	9679
101	1096	9657
102	1106	9637
103	1116	9622
104	1128	9616
105	1139	9611
106	1149	9590
107	1158	9572
108	1169	9559
109	1178	9538
110	1189	9524
111	1199	9508
112	1208	9485
113	1218	9468
114	1228	9455
115	1238	9441
116	1249	9429
117	1260	9422
118	1270	9405
119	1281	9397
120	1290	9378
121	1301	9364
122	1311	9347
123	1322	9341
124	1332	9329
125	1342	9311
126	1353	9301
127	1363	9287
128	1373	9273
129	1383	9256
130	1392	9237
131	1401	9218
132	1413	9214
133	1424	9203
134	1434	9190
135	1444	9178
136	1454	9162
137	1464	9148
138	1475	9138
139	1484	9120
140	1496	9117
141	1507	9106
142	1516	9090
143	1526	9075
144	1537	9068
145	1547	9052
146	1559	9047
147	1568	9031
148	1579	9018
149	1589	9006
150	1599	8992
151	1610	8983
152	1620	8970
153	1630	8958
154	1640	8943
155	1650	8930
156	1660	8916
157	1670	8903
158	1680	8887
159	1691	8879
160	1702	8871
161	1714	8866
162	1725	8861
163	1736	8853
164	1746	8840
165	1758	8832
166	1767	8815
167	1777	8801
168	1787	8787
169	1798	8782
170	1810	8776
171	1821	8767
172	1830	8752
173	1841	8740
174	1852	8731
175	1862	8721
176	1873	8708
177	1882	8695
178	1895	8692
179	1904	8678
180	1915	8666
181	1925	8652
182	1935	8640
183	1946	8633
184	1956	8617
185	1966	8606
186	1978	8601
187	1988	8586
188	1999	8579
189	2010	8570
190	2022	8567
191	2033	8559
192	2044	8550
193	2055	8541
194	2065	8526
195	2075	8512
196	2085	8500
197	2095	8487
198	2104	8472
199	2115	8461
200	2125	8450
201	2135	8435
202	2145	8424
203	2156	8414
204	2166	8401
205	2175	8386
206	2186	8376
207	2197	8366
208	2208	8360
209	2219	8349
210	2228	8333
211	2239	8322
212	2249	8310
213	2259	8298
214	2269	8286
215	2279	8272
216	2290	8263
217	2300	8253
218	2312	8246
219	2322	8234
220	2333	8226
221	2343	8213
222	2353	8201
223	2363	8186
224	2373	8176
225	2383	8162
226	2392	8148
227	2404	8139
228	2413	8124
229	2423	8114
230	2435	8109
231	2445	8094
232	2455	8084
233	2466	8073
234	2476	8063
235	2487	8053
236	2500	8050
237	2510	8038
238	2522	8031
239	2532	8018
240	2542	8007
241	2554	8000
242	2564	7987
243	2574	7975
244	2584	7965
245	2595	7956
246	2606	7945
247	2617	7935
248	2630	7932
249	2640	7922
250	2652	7916
251	2663	7906
252	2673	7892
253	2683	7882
254	2693	7870
255	2704	7860
256	2715	7851
257	2726	7840
258	2735	7827
259	2747	7819
260	2757	7808
261	2767	7795
262	2778	7785
263	2788	7773
264	2799	7764
265	2811	7758
266	2821	7744
267	2831	7733
268	2841	7722
269	2851	7709
270	2861	7698
271	2871	7686
272	2882	7676
273	2893	7666
274	2904	7656
275	2914	7646
276	2927	7639
277	2937	7628
278	2946	7613
279	2959	7609
280	2968	7596
281	2978	7584
282	2988	7572
283	2998	7560
284	3009	7550
285	3020	7541
286	3031	7532
287	3042	7521
288	3051	7507
289	3061	7495
290	3072	7486
291	3084	7478
292	3094	7466
293	3105	7456
294	3118	7451
295	3128	7440
296	3139	7430
297	3148	7416
298	3157	7403
299	3168	7392
300	3178	7381
301	3189	7371
302	3200	7363
