feature,importance
brand_freq,7804
brand_target,7202
normalized_quantity,6118
word_count_log,4875
enhanced_total_bullet_length,4474
enhanced_avg_bullet_length_log,4262
value_log,3750
detailed_avg_word_length_log,3043
detailed_description_word_count_log,2511
enhanced_extracted_weight_log,2204
brand_target_log,2035
detailed_description_length,1964
brand_freq_log,1680
detailed_sentence_count,1203
enhanced_bullet_point_count,971
enhanced_quality_indicators,926
enhanced_premium_keywords_count,906
unit_ounce,652
enhanced_extracted_weight,591
category_other,584
unit_count_log,560
enhanced_has_ingredients,445
enhanced_extracted_dimensions,416
unit_fl_oz,399
enhanced_has_technical_specs,333
detailed_positive_word_count_log,315
category_snack,303
is_premium,298
category_condiment_log,262
detailed_confidence_indicators,214
detailed_marketing_language_score,212
has_organic,191
enhanced_has_benefits,125
detailed_has_warranty_info,112
has_premium,60
