feature,importance
estimated_unit_price,182956.078125
has_weight,53658.1796875
number_count,49904.859375
value_keyword_count,48101.33984375
total_numbers_in_title,46329.33984375
weight_value,40464.13671875
brand_tier_quantity,39019.6953125
value_score,33225.859375
has_multipack,30784.109375
category_size,29274.119140625
sample_id.1,26232.73828125
multipack_size,24863.5703125
total_quantity,19226.8984375
capital_ratio,15432.154296875
has_premium_keywords,12832.1591796875
brand_category_frequency,12353.50390625
category_avg_price,11223.5947265625
title_word_count,10932.5703125
premium_score,9612.9736328125
quantity_category_ratio,8492.1337890625
category_median_price,8283.79296875
title_length,7581.53564453125
premium_keyword_count,6326.12109375
volume_value,4982.55908203125
has_volume,2597.162109375
quality_keyword_count,2388.630859375
tier_multipack_interaction,128.82862854003906
