feature,importance
has_weight,15507.9677734375
total_numbers_in_title,15460.4091796875
is_popular_brand,11870.361328125
desc_length,10314.5029296875
special_char_count,10153.8701171875
has_parentheses,9868.3212890625
has_volume,9813.7119140625
is_multipack,9610.88671875
value_keyword_count,8486.4853515625
log_volume,8430.5927734375
desc_word_count,8252.130859375
has_multipack,7865.7099609375
title_word_count,7526.57177734375
volume_value,7374.56494140625
weight_value,7146.43701171875
number_count,6814.7548828125
title_length,6750.45458984375
brand_name_length,6293.45947265625
is_family_size,6194.4306640625
quality_keyword_count,5985.92236328125
total_quantity,5850.39794921875
weight_brand_interaction,5758.08935546875
numeric_density,5345.89208984375
value_score,5226.31787109375
log_weight,5222.7978515625
has_premium_keywords,5221.109375
brand_frequency,5185.52685546875
title_complexity,5103.3505859375
multipack_size,4861.88134765625
premium_score,4821.1591796875
quantity_category_ratio,4761.57568359375
capital_ratio,4753.1953125
premium_keyword_count,4661.56689453125
category_size,4228.07568359375
brand_tier_quantity,4080.53125
tier_multipack_interaction,4049.59130859375
brand_category_frequency,3895.448974609375
has_ampersand,3741.8203125
log_total_quantity,3642.106689453125
is_standard_size,3626.28076171875
is_large_category,3531.26953125
category_in_title,3414.4931640625
brand_tier,2585.166259765625
has_description,2582.67626953125
is_travel_size,2240.43896484375
brand_in_title,1040.8153076171875
