feature,importance
total_numbers_in_title,23518.19921875
special_char_count,17011.59375
has_weight,16785.603515625
has_volume,16408.7734375
desc_length,12192.1904296875
has_parentheses,11719.921875
log_volume,10159.0615234375
quality_keyword_count,9860.646484375
title_word_count,9724.697265625
title_length,9683.7841796875
brand_name_length,9654.15625
value_score,9330.0576171875
is_multipack,9072.576171875
has_multipack,8993.1962890625
value_keyword_count,8983.591796875
volume_value,8816.2197265625
total_quantity,8551.9287109375
desc_word_count,8466.6015625
weight_value,8425.67578125
multipack_size,7517.95458984375
brand_frequency,6829.3154296875
numeric_density,6568.7119140625
capital_ratio,6540.71630859375
number_count,6480.61181640625
has_premium_keywords,6243.30078125
weight_brand_interaction,6178.392578125
title_complexity,6034.0390625
quantity_category_ratio,5809.0859375
brand_category_frequency,5799.76318359375
premium_score,5761.1767578125
has_ampersand,5557.771484375
has_description,5513.49658203125
log_total_quantity,5356.0625
premium_keyword_count,5206.77978515625
is_standard_size,5101.513671875
is_family_size,4949.43115234375
tier_multipack_interaction,4920.8935546875
brand_tier,4829.060546875
log_weight,4566.80859375
category_size,4519.40771484375
category_in_title,4128.57275390625
brand_tier_quantity,3686.46142578125
is_large_category,3609.989990234375
is_travel_size,3403.117431640625
is_popular_brand,2315.919677734375
brand_in_title,734.9622192382812
