sample_id,price,ipq,title_length,title_word_count,desc_length,desc_word_count,has_description,capital_ratio,number_count,multipack_size,has_multipack,weight_value,has_weight,volume_value,has_volume,total_numbers_in_title,total_quantity,log_total_quantity,log_weight,log_volume,brand_frequency,brand_tier,is_popular_brand,brand_name_length,brand_in_title,category_size,is_large_category,brand_category_frequency,quantity_category_ratio,tier_multipack_interaction,brand_tier_quantity,weight_brand_interaction,premium_keyword_count,has_premium_keywords,value_keyword_count,quality_keyword_count,premium_score,value_score,is_travel_size,is_family_size,is_multipack,is_standard_size,special_char_count,has_parentheses,has_ampersand,title_complexity,numeric_density,category_in_title
33127,4.890000000000001,1,55,11,0,0,0,0.14545454545454545,2,6,1,12.0,1,0.0,0,2,6,1.9459101490553132,2.5649493574615367,0.0,342,3,1,2,1,3960,0,51,0.8321950194388988,3,5.8377304471659395,7.694848072384611,0,0,0,0,3,1,0,0,1,1,2,1,0,5.5,0.03571428571428571,0
198967,13.12,1,65,11,0,0,0,0.12307692307692308,2,4,1,8.0,1,0.0,0,2,4,1.6094379124341003,2.1972245773362196,0.0,2,1,0,7,1,10480,0,2,0.2666717558223121,1,1.6094379124341003,2.1972245773362196,0,0,0,0,1,1,0,0,1,1,2,1,0,3.6666666666666665,0.030303030303030304,0
261251,1.97,1,76,14,0,0,0,0.13157894736842105,3,6,1,1.9,1,0.0,0,2,6,1.9459101490553132,1.0647107369924282,0.0,46,2,0,4,1,1451,0,0,0.9169036334913112,2,3.8918202981106265,2.1294214739848565,0,0,0,0,2,1,0,0,1,1,2,1,0,4.666666666666667,0.03896103896103896,0
55858,30.34,1,153,28,24,4,1,0.13071895424836602,2,1,0,11.25,1,0.0,0,1,1,0.6931471805599453,2.505525936990736,0.0,42,2,0,5,1,3960,0,9,0.13869916990648312,0,1.3862943611198906,5.011051873981472,0,0,0,0,2,0,0,0,0,1,6,0,0,14.0,0.012987012987012988,0
292686,66.49,1,52,10,0,0,0,0.07692307692307693,3,1,0,12.7,1,0.0,0,2,1,0.6931471805599453,2.617395832834079,0.0,40,1,0,5,1,32142,1,8,0.1130498703911479,0,0.6931471805599453,2.617395832834079,0,0,0,0,1,0,0,0,0,1,1,0,0,5.0,0.05660377358490566,0
9259,18.5,1,43,7,0,0,0,0.11627906976744186,2,1,0,6.25,1,0.0,0,1,1,0.6931471805599453,1.9810014688665833,0.0,74,2,0,6,1,32142,1,51,0.1130498703911479,0,1.3862943611198906,3.9620029377331667,0,0,0,0,2,0,0,0,0,1,0,0,0,2.3333333333333335,0.045454545454545456,0
191846,5.99,1,58,10,0,0,0,0.1206896551724138,2,6,1,30.0,1,0.0,0,2,6,1.9459101490553132,3.4339872044851463,0.0,445,3,1,4,1,32142,1,304,0.6782992223468874,3,5.8377304471659395,10.30196161345544,0,0,0,0,3,1,0,0,1,1,2,1,0,5.0,0.03389830508474576,0
222007,94.0,1,73,10,22,4,1,0.1506849315068493,0,1,0,0.0,0,0.0,0,0,1,0.6931471805599453,0.0,0.0,17,1,0,6,1,32142,1,15,0.1130498703911479,0,0.6931471805599453,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,10.0,0.0,0
37614,35.74,1,56,11,0,0,0,0.7142857142857143,2,1,0,32.0,1,0.0,0,2,1,0.6931471805599453,3.4965075614664802,0.0,70,2,0,7,1,3535,0,35,0.1900129004515158,0,1.3862943611198906,6.9930151229329605,0,0,0,1,3,0,0,0,0,1,1,0,0,3.6666666666666665,0.03508771929824561,1
238044,31.8,1,62,11,22,4,1,0.12903225806451613,2,4,1,9.0,1,0.0,0,2,4,1.6094379124341003,2.302585092994046,0.0,171,3,1,3,1,32142,1,124,0.4521994815645916,3,4.828313737302301,6.907755278982138,0,0,0,0,3,1,0,0,1,1,2,1,0,11.0,0.031746031746031744,0
