sample_id,ipq,title_length,title_word_count,desc_length,desc_word_count,has_description,capital_ratio,number_count,multipack_size,has_multipack,weight_value,has_weight,volume_value,has_volume,total_numbers_in_title,total_quantity,estimated_unit_price,brand_frequency,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,brand_tier,is_popular_brand,category_avg_price,category_median_price,category_size,brand_category_frequency,quantity_category_ratio,tier_multipack_interaction,premium_keyword_count,has_premium_keywords,value_keyword_count,quality_keyword_count,brand_in_title,is_high_value_category,is_low_value_category,brand_tier_quantity,premium_score,value_score,sample_id,price
33127,1,91,18,0,0,0,0.15384615384615385,4,1,0,12.0,1,0.0,0,4,1,4.890000000000001,75000,23.647654,14.0,33.376932183155844,75000,2,0,18.95192058889137,10.145,4483,4483,0.00022301516503122213,0,0,0,2,0,1,0,1,1.3862943611198906,2,2,33127,4.890000000000001
198967,1,100,17,0,0,0,0.13,3,1,0,8.0,1,0.0,0,3,1,13.12,75000,23.647654,14.0,33.376932183155844,75000,2,0,21.58125,13.99,12584,12584,7.945967421533571e-05,0,0,0,1,0,1,0,0,1.3862943611198906,2,1,198967,13.12
261251,1,100,18,0,0,0,0.14,3,1,0,1.9,1,0.0,0,3,1,1.97,75000,23.647654,14.0,33.376932183155844,75000,2,0,20.989776795341815,10.49,4637,4637,0.00021561017680034498,0,0,0,1,0,1,0,1,1.3862943611198906,2,1,261251,1.97
55858,1,100,18,0,0,0,0.13,2,1,0,11.25,1,0.0,0,2,1,30.34,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,55858,30.34
292686,1,100,18,0,0,0,0.11,3,1,0,12.7,1,0.0,0,3,1,66.49,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,292686,66.49
9259,1,100,17,0,0,0,0.14,3,1,0,6.25,1,0.0,0,3,1,18.5,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,9259,18.5
191846,1,100,17,0,0,0,0.24,3,1,0,30.0,1,0.0,0,3,1,5.99,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,1,0,1,0,0,1.3862943611198906,2,1,191846,5.99
222007,1,100,15,0,0,0,0.15,1,1,0,0.0,0,0.0,0,1,1,94.0,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,222007,94.0
37614,1,93,18,0,0,0,0.4946236559139785,4,1,0,32.0,1,0.0,0,4,1,35.74,75000,23.647654,14.0,33.376932183155844,75000,2,0,20.989776795341815,10.49,4637,4637,0.00021561017680034498,0,0,0,1,1,1,0,1,1.3862943611198906,3,1,37614,35.74
238044,1,100,18,0,0,0,0.14,3,1,0,9.0,1,0.0,0,3,1,31.8,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,1,0,1,0,0,1.3862943611198906,2,1,238044,31.8
254947,1,100,17,0,0,0,0.13,1,1,0,12.0,1,0.0,0,1,1,15.99,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,254947,15.99
283223,1,100,17,0,0,0,0.14,2,1,0,0.0,0,0.0,0,2,1,33.5,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,1,0,1,0,0,1.3862943611198906,2,1,283223,33.5
21740,1,100,16,0,0,0,0.2,1,4,1,0.0,0,0.0,0,1,4,1.745,75000,23.647654,14.0,33.376932183155844,75000,2,0,21.58125,13.99,12584,12584,0.00031783869686134286,2,0,0,0,0,1,0,0,3.2188758248682006,2,1,21740,6.98
170292,1,100,15,0,0,0,0.13,2,1,0,16.0,1,0.0,0,2,1,4.255,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,1,1,1,0,0,1.3862943611198906,3,1,170292,4.255
71500,1,100,13,0,0,0,0.25,0,1,0,0.0,0,0.0,0,0,1,1.67,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,5.6252461045170726e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,71500,1.67
266475,1,65,11,0,0,0,0.15384615384615385,2,1,0,0.0,0,0.0,0,2,1,81.44,75000,23.647654,14.0,33.376932183155844,75000,2,0,18.95192058889137,10.145,4483,4483,0.00022301516503122213,0,1,1,1,0,1,0,1,1.3862943611198906,3,1,266475,81.44
88520,1,83,15,0,0,0,0.1566265060240964,5,1,0,10.0,1,0.0,0,5,1,56.72,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,2,0,1,0,0,1.3862943611198906,2,2,88520,56.72
125583,1,100,18,0,0,0,0.21,1,1,0,16.0,1,0.0,0,1,1,5.47,75000,23.647654,14.0,33.376932183155844,75000,2,0,25.20567604355717,17.759999999999998,1102,1102,0.0009066183136899365,0,0,0,0,1,1,1,0,1.3862943611198906,3,0,125583,5.47
271423,1,100,13,0,0,0,0.12,0,1,0,0.0,0,0.0,0,0,1,109.97,75000,23.647654,14.0,33.376932183155844,75000,2,0,25.20567604355717,17.759999999999998,1102,1102,0.0009066183136899365,0,0,0,1,1,1,1,0,1.3862943611198906,3,1,271423,109.97
260842,1,100,19,0,0,0,0.15,2,90,1,0.0,0,0.0,0,2,90,0.5665555555555556,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,0.005062721494065365,2,0,0,1,0,1,0,0,9.0217190130337,2,2,260842,50.99
267410,1,100,18,0,0,0,0.16,1,1,0,25.0,1,0.0,0,1,1,98.99,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,1,1,0,0,1.3862943611198906,3,0,267410,98.99
201749,1,100,17,0,0,0,0.22,2,20,1,24.0,1,0.0,0,2,20,1.6045000000000003,75000,23.647654,14.0,33.376932183155844,75000,2,0,21.58125,13.99,12584,12584,0.0015891934843067143,2,1,1,0,0,1,0,0,6.089044875446846,3,1,201749,32.09
194856,1,100,13,0,0,0,0.21,0,1,0,0.0,0,0.0,0,0,1,12.32,75000,23.647654,14.0,33.376932183155844,75000,2,0,25.20567604355717,17.759999999999998,1102,1102,0.0009066183136899365,0,0,0,0,0,1,1,0,1.3862943611198906,2,0,194856,12.32
81813,1,68,14,0,0,0,0.39705882352941174,4,1,0,14.7,1,0.0,0,4,1,4.12,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,1,0,1,0,0,1.3862943611198906,2,1,81813,4.12
234305,1,100,19,0,0,0,0.22,3,1,0,0.0,0,20.0,1,3,1,16.395,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,5.6252461045170726e-05,0,0,0,1,1,1,0,0,1.3862943611198906,3,1,234305,16.395
154376,1,100,16,0,0,0,0.12,2,1,0,14.0,1,0.0,0,2,1,17.095,75000,23.647654,14.0,33.376932183155844,75000,2,0,21.58125,13.99,12584,12584,7.945967421533571e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,154376,17.095
202016,1,100,17,0,0,0,0.14,3,1,0,4.5,1,0.0,0,3,1,15.5,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,202016,15.5
116291,1,100,17,0,0,0,0.12,5,1,0,14.1,1,0.0,0,5,1,20.61,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,5.6252461045170726e-05,0,0,0,2,0,1,0,0,1.3862943611198906,2,2,116291,20.61
234372,1,100,18,0,0,0,0.12,2,1,0,19.75,1,0.0,0,2,1,1.58,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,1,1,0,0,1.3862943611198906,3,0,234372,1.58
116974,1,100,16,0,0,0,0.13,2,1,0,0.0,0,0.0,0,2,1,19.845,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,116974,19.845
178219,1,100,15,0,0,0,0.14,2,1,0,0.64,1,0.0,0,2,1,13.49,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,178219,13.49
248217,1,100,17,0,0,0,0.25,1,1,0,7.0,1,0.0,0,1,1,12.78,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,248217,12.78
22148,1,100,18,0,0,0,0.15,1,1,0,5.0,1,5.0,1,1,1,64.99,75000,23.647654,14.0,33.376932183155844,75000,2,0,21.58125,13.99,12584,12584,7.945967421533571e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,22148,64.99
7575,1,89,16,0,0,0,0.14606741573033707,5,1,0,1.0,1,0.0,0,5,1,30.78,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,2,0,1,0,0,1.3862943611198906,2,2,7575,30.78
100323,1,88,14,0,0,0,0.11363636363636363,2,1,0,0.0,0,0.0,0,2,1,23.99,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,2,0,1,0,0,1.3862943611198906,2,2,100323,23.99
109029,1,100,19,0,0,0,0.15,3,1,0,1.0,1,0.0,0,3,1,12.85,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,1,0,1,0,0,1.3862943611198906,2,1,109029,12.85
38571,1,100,16,0,0,0,0.13,2,1,0,0.0,0,0.0,0,2,1,9.27,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,1,1,2,0,1,0,0,1.3862943611198906,3,2,38571,9.27
56340,1,100,18,0,0,0,0.27,4,1,0,15.5,1,0.0,0,4,1,29.96,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,1,1,1,1,1,0,0,1.3862943611198906,4,1,56340,29.96
196576,1,100,19,0,0,0,0.15,4,3,1,4.0,1,0.0,0,4,3,41.50666666666667,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,0.00016875738313551218,2,1,1,1,0,1,0,0,2.772588722239781,3,2,196576,124.52
274881,1,100,18,0,0,0,0.1,4,1,0,32.0,1,0.0,0,4,1,16.99,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,5.6252461045170726e-05,0,0,0,1,0,1,0,0,1.3862943611198906,2,1,274881,16.99
166681,1,100,15,0,0,0,0.14,1,20,1,0.0,0,0.0,0,1,20,0.2745,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,0.0011250492209034146,2,0,0,1,0,1,0,0,6.089044875446846,2,2,166681,5.49
95469,1,100,15,0,0,0,0.13,1,36,1,0.0,0,0.0,0,1,36,0.33972222222222226,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,0.002025088597626146,2,0,0,0,0,1,0,0,7.221835825288449,2,1,95469,12.23
255445,1,100,15,0,0,0,0.12,3,1,0,12.0,1,0.0,0,3,1,6.99,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,5.6252461045170726e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,255445,6.99
259866,1,100,18,0,0,0,0.15,1,1,0,0.0,0,0.0,0,1,1,58.13,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,0,0,1,0,0,1.3862943611198906,2,0,259866,58.13
59900,1,100,18,0,0,0,0.17,2,1,0,1.25,1,1.25,1,2,1,11.98,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,1,1,0,1,1,0,0,1.3862943611198906,4,0,59900,11.98
61692,1,74,12,0,0,0,0.13513513513513514,4,1,0,14.0,1,0.0,0,4,1,29.94,75000,23.647654,14.0,33.376932183155844,75000,2,0,23.38847435626528,12.99,33127,33127,3.0185945423810673e-05,0,0,0,1,0,1,0,0,1.3862943611198906,2,1,61692,29.94
56211,1,100,18,0,0,0,0.15,1,1,0,0.0,0,0.0,0,1,1,7.56,75000,23.647654,14.0,33.376932183155844,75000,2,0,21.58125,13.99,12584,12584,7.945967421533571e-05,0,0,0,2,0,1,0,0,1.3862943611198906,2,2,56211,7.56
140715,1,100,15,0,0,0,0.15,0,1,0,0.0,0,0.0,0,0,1,34.57,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,5.6252461045170726e-05,0,0,0,0,1,1,0,0,1.3862943611198906,3,0,140715,34.57
186165,1,100,19,0,0,0,0.12,3,1,0,4.25,1,0.0,0,3,1,2.54,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,5.6252461045170726e-05,0,1,1,0,0,1,0,0,1.3862943611198906,3,0,186165,2.54
272258,1,97,17,0,0,0,0.12371134020618557,4,4,1,0.0,0,0.0,0,4,4,1.105,75000,23.647654,14.0,33.376932183155844,75000,2,0,27.618447344734474,18.69,17776,17776,0.0002250098441806829,2,0,0,1,0,1,0,0,3.2188758248682006,2,2,272258,4.42
