item_name_length,word_count,brand,category,value,unit,normalized_quantity,is_premium,has_organic,has_premium,enhanced_bullet_point_count,enhanced_total_bullet_length,enhanced_avg_bullet_length,enhanced_has_technical_specs,enhanced_has_ingredients,enhanced_has_benefits,enhanced_premium_keywords_count,enhanced_quality_indicators,enhanced_extracted_weight,enhanced_extracted_dimensions,detailed_description_length,detailed_description_word_count,detailed_avg_word_length,detailed_sentence_count,detailed_technical_term_count,detailed_marketing_language_score,detailed_positive_word_count,detailed_confidence_indicators,detailed_has_usage_instructions,detailed_has_warranty_info,sample_id,price
55,11,la,condiment,72.0,fl oz,72.0,False,False,False,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,33127,4.890000000000001
65,11,salerno,other,32.0,ounce,32.0,False,False,False,5,325,65.0,False,False,False,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,198967,13.12
76,14,bear,grain,11.4,ounce,11.4,False,False,False,5,131,26.2,False,False,False,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,261251,1.97
153,28,blue,condiment,11.25,ounce,11.25,False,False,False,5,512,102.4,False,True,False,0,0,0.0,0,509,83,5.144578313253012,6,0,0,1,0,False,False,55858,30.34
52,10,kedem,other,12.0,count,12.0,False,False,False,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,292686,66.49
43,7,member's,other,6.25,ounce,6.25,False,False,False,3,92,30.666666666666668,True,False,False,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,9259,18.5
58,10,goya,condiment,180.0,ounce,180.0,False,False,False,5,1152,230.4,False,True,False,2,2,30.0,1,0,0,0.0,0,0,0,0,0,0,0,191846,5.99
73,10,vineco,other,1.0,count,1.0,False,False,False,5,227,45.4,False,True,False,0,0,0.0,1,1847,286,5.461538461538462,16,0,0,2,0,False,False,222007,94.0
56,11,natures,grain,192.0,fl oz,192.0,False,False,False,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,37614,35.74
62,11,mrs.,other,9.0,ounce,9.0,False,False,False,5,240,48.0,False,False,False,0,0,0.0,0,610,106,4.764150943396227,7,0,0,0,0,False,False,238044,31.8
42,7,braswell's,other,12.0,ounce,12.0,False,False,False,0,0,0.0,0,0,0,0,0,0.0,0,62,12,4.25,3,0,0,0,0,False,False,254947,15.99
67,11,albanese,other,160.0,ounce,160.0,False,False,False,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,283223,33.5
