Unit,Count,SMAPE,MAE,Avg_Price
None,204,97.55201497850234,34.24997142742967,36.76683823529412
Oz,21,85.30829846906781,21.463203842940683,26.086428571428574
oz,198,82.48544229077284,13.65639523507325,15.84141414141414
Fl Oz,2194,80.65743081138758,16.70965577710916,20.77042388331814
Ounce,8219,77.69056175119752,17.03622235629749,22.12543435941112
Count,3504,75.18600636444076,22.646997515560077,30.328134988584477
ounce,395,75.08869096522417,11.193435499656244,15.022911392405062
count,128,68.5210348004896,14.053723427304242,20.1640234375
ct,13,66.5297907920468,6.847202797202797,9.59576923076923
fl oz,22,62.77367690366519,7.115566037735847,10.414090909090909
pound,24,62.11780434933715,30.79646766169154,54.07208333333333
