sample_id,catalog_content,image_link,price,item_name,value,unit,price_range,brand,inferred_category,unit_price,has_pack,pack_size,is_organic,is_premium,is_natural,is_travel_size,is_family_size,has_gourmet,has_fresh,has_handmade,number_count,has_percentage,text_length,word_count,has_image_link,price_category,success,width_x,height_x,mode,width_y,height_y,aspect_ratio,total_pixels,mean_red,mean_green,mean_blue,brightness,color_variance
89619,"Item Name: Gatorade Cool Blue, 20 Oz, Pack of 24
Bullet Point 1: Sold as 24/Carton.
Bullet Point 2: Sports drink in Cool Blue flavor quenches thirst and refills minerals
Bullet Point 3: Comes in capacity of 20 fl. oz.
Bullet Point 4: Sold as 24 bottles per carton Cool, satisfying taste, energize, and re-hydrate without caffeine.
Bullet Point 5: Carbohydrates and electrolytes stimulate rapid fluid absorption A great source of hydration before, during, and after exercise .
Product Description: Replenish carbohydrates and electrolytes with this Gatorade G2 Thirst Quencher Cool Blue sports drink. Grab these ready-to-go sports drinks for a quick and convenient beverage. A unique electrolyte blend helps to keep your body hydrated. Each case contains 20 bottles, making these Gatorade G2 Thirst Quencher Cool Blue sports drinks perfect for stocking break rooms. Sports drink in Cool Blue flavor quenches thirst and refills minerals. Comes in capacity of 20 fl. oz. Sold as 24 bottles per carton. Cool, satisfying taste, energize, and re-hydrate without caffeine. Carbohydrates and electrolytes stimulate rapid fluid absorption. A great source of hydration before, during, and after exercise.
Value: 480.0
Unit: Fl Oz
",https://m.media-amazon.com/images/I/710zFvtEzIS.jpg,7.98,"Gatorade Cool Blue, 20 Oz, Pack of 24",480.0,Fl Oz,$5-10,Gatorade Cool,Other,0.016625,True,24.0,False,False,False,False,False,False,False,False,2.0,False,37.0,8.0,True,Budget ($0-$10),True,2560,1920,RGB,2560,1920,1.3333333333333333,4915200,221.93182393391928,228.67794189453124,238.56801411946614,229.72592664930556,54.95988295880488
74523,"Item Name: Arrowhead Mills Organic Multigrain Pancake & Waffle Mix, 22 Ounce Bag (Pack of 6)
Bullet Point 1: 6 - 22 oz bags of Multigrain Pancake & Waffle Mix
Bullet Point 2: Made with organic non-gmo wheat flour
Bullet Point 3: 100% commitment to quality. State of Readiness: Ready to Mix
Bullet Point 4: Made with whole grain yellow corn flour, whole grain wheat flour and other simple ingredients
Bullet Point 5: Just add oil and milk or water to this pancake mix to make delicious multigrain pancakes or waffles
Product Description: <b>6 - 22 oz bags of Multigrain Pancake & Waffle Mix</b><br>Arrowhead Mills Organic Multigrain Pancake & Waffle Mix is made with a nutritious blend of organic whole grains including whole wheat, brown rice, yellow corn, and rye. The delicious balance of wholesome grains bakes up into scrumptious muffins and more. Easy to prepare – just add water – delicious and nutritious pancakes and waffles are ready in minutes.
Value: 132.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81cvczEUsbL.jpg,9.915,"Arrowhead Mills Organic Multigrain Pancake & Waffle Mix, 22 Ounce Bag (Pack of 6)",132.0,Ounce,$5-10,Arrowhead Mills,Health & Wellness,0.0751136363636363,True,6.0,True,False,False,False,False,False,False,False,2.0,False,81.0,14.0,True,Budget ($0-$10),True,1642,2400,RGB,1642,2400,0.6841666666666667,3940800,174.15582597442145,96.87797503045067,101.23441915347138,124.08940671944782,79.20594121897744
253076,"Item Name: Pam Original Cooking Spray-6 Oz-3 Pack
Product Description: Pam Cooking Spray, Original, 6 Oz<ul><li>Created in 1961, All Natural PAMOriginal is the versatile, undisputed leader in non-stick cooking sprays.</li><li>Use it for everything from better browning of your roasted turkey to keeping spices on your uncooked meats.</li><li>And it has just 7 calories and less than 1 g of fat per serving!</li><li>Pop-top nozzle makes for easy use</li><li>Ideal for a variety of cooking purposes </li></ul>
Value: 18.0
Unit: Fl Oz
",https://m.media-amazon.com/images/I/81x7OEdmvmL.jpg,8.16,Pam Original Cooking Spray-6 Oz-3 Pack,18.0,Fl Oz,$5-10,Pam Original,Other,0.4533333333333333,True,3.0,False,False,False,False,False,False,False,False,2.0,False,38.0,6.0,True,Budget ($0-$10),True,1059,1200,RGB,1059,1200,0.8825,1270800,190.34293201133144,147.05528485993077,115.31912259993705,150.90577982373307,82.81273288573306
47389,"Item Name: King Arthur Yellow Cake Mix - Case of 2 - 22 oz.
Value: 44.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81xrmKnNF3L.jpg,6.26,King Arthur Yellow Cake Mix - Case of 2 - 22 oz.,44.0,Ounce,$5-10,King Arthur,Other,0.1422727272727272,False,,False,False,False,False,False,False,False,False,2.0,False,48.0,12.0,True,Budget ($0-$10),True,1000,1500,RGB,1000,1500,0.6666666666666666,1500000,163.02191666666667,177.61482133333334,193.95855266666666,178.1984302222222,89.147341395531
254253,"Item Name: SoftSheen-Carson Dark and Lovely Go Intense Ultra Vibrant Color, Light Golden Blonde 11 (Packaging May Vary)
Bullet Point 1: 1st hi-pigment, hi-care color for African-American hair now with color and shine boosters
Bullet Point 2: Anti-drying creme gel color formulated with Olive Oil
Bullet Point 3: Permanent non-drip hair color with 100 percent gray coverage
Bullet Point 4: Perfectly balanced color dyes that deliver intense, visible, high reflect on dark hair
Value: 1.0
Unit: Count
",https://m.media-amazon.com/images/I/81Zb+XM6KUL.jpg,9.99,"SoftSheen-Carson Dark and Lovely Go Intense Ultra Vibrant Color, Light Golden Blonde 11 (Packaging May Vary)",1.0,Count,$5-10,SoftSheen,Other,9.99,False,,False,False,False,False,False,False,False,False,1.0,False,108.0,16.0,True,Budget ($0-$10),True,2400,2400,RGB,2400,2400,1.0,5760000,213.239134375,195.57435555555554,186.47815381944446,198.43054791666665,73.45218871238353
39999,"Item Name: Green Mountain Salsa, Hot, 16-Ounce (Pack of 6)
Bullet Point: 16 Ounces Bottle
Product Description: In a bowl or in your favorite spicy dish, a perfect blend of flavorful heat thall of that's chock full of jalapenos to satisfy those who like it hot.
Value: 96.0
Unit: oz
",https://m.media-amazon.com/images/I/71GT5Xp0byL.jpg,6.49,"Green Mountain Salsa, Hot, 16-Ounce (Pack of 6)",96.0,oz,$5-10,Green Mountain,Other,0.0676041666666666,True,6.0,False,False,False,False,False,False,False,False,2.0,False,47.0,8.0,True,Budget ($0-$10),True,1600,1600,RGB,1600,1600,1.0,2560000,214.589035546875,200.236105078125,190.083344921875,201.63616184895832,78.62627246123782
225478,"Item Name: Peet's Coffee, Medium Roast Espresso Pods Compatible with Nespresso Original Machine, Crema Scura Intensity 9, 10 Count (1 Box of 10 Espresso Capsules), Coffee Gifts (Pack of 3)
Bullet Point 1: The below information is per pack only
Bullet Point 2: Contains one (1) Box of 10 Peet's Crema Scura Espresso - Intensity 9 Medium Roast Coffee Single Cup Espresso Capsules
Bullet Point 3: Flavor and Roast: Medium Roast - Intensity 9. Thick and luxurious espresso with nutty notes balanced by a creamy, enduring finish. 100% Arabica Coffee
Bullet Point 4: Designed for Nespresso Original Machines Only: Compatible brewers include Essenza Mini, Essenza Plus, Pixie, CitiZ, Lattissima, KitchenAid, and Creatista. Not compatible with Nespresso Vertuo machines
Bullet Point 5: Recyclable: Peet’s aluminum capsules are fully recyclable through our mail-back program. Each aluminum capsule is sealed to preserve that delicious aroma and flavor for an intense espresso experience
Bullet Point 6: How to Brew: Peet's capsules are designed for Ristretto (0.85 OZ / 25 ml) or Espresso (1.35 OZ / 40 ml) pulls on your Nespresso Original brewer.
Value: 30.0
Unit: Count
",https://m.media-amazon.com/images/I/51NO13OO14L.jpg,9.29,"Peet's Coffee, Medium Roast Espresso Pods Compatible with Nespresso Original Machine, Crema Scura Intensity 9, 10 Count (1 Box of 10 Espresso Capsules), Coffee Gifts (Pack of 3)",30.0,Count,$5-10,Peet's Coffee,Food & Beverage,0.3096666666666666,True,3.0,False,False,False,False,False,False,False,False,5.0,False,177.0,28.0,True,Budget ($0-$10),True,1001,1001,RGB,1001,1001,1.0,1002001,210.98904891312483,199.99231936894276,200.31577513395695,203.76571447200817,82.42323423314139
24380,"Item Name: Simply Organic Harissa Seasoning, 3.2 oz (91 g)
Bullet Point 1: HARISSA SEASONING - Simply Organic Harissa Seasoning is a tantalizing blend inspired by the iconic Tunisian hot sauce. Our organic creation is a garlic-kissed masterpiece, delivering a complex, smoky, curry-like flavor with a touch of invigorating spicy heat. Dive into the vibrant world of Harissa with this gorgeous, earthy-red blend that captures the essence of North African cuisine.
Bullet Point 2: BEST USES - Immerse your dishes in the rich and exotic flavors of North Africa by sprinkling our Harissa Seasoning. Perfect for adding a spicy kick to roasted vegetables, grilled meats, or couscous, this blend brings a depth of taste that elevates your culinary creations.
Bullet Point 3: SIMPLY ORGANIC BOTTLED SPICES - Elevate your daily dishes with Simply Organic Bottled Spices, where the pure, delicious flavor of our spices and seasonings bring the goodness of organics to everyday meals.
Bullet Point 4: GROWN FOR SOMETHING GREATER - Simply Organic works directly with sourcing partners whenever possible, paying fair prices directly to them, without a middleman, to maximize the grower's return. With Simply Organic you can feel good about the food on your table and its effect on the world we live in.
Bullet Point 5: ABOUT US - We are Simply Organic. The original, all-organic spice brand that lives up to the promise of our name in all we cultivate and bring to the table. We believe in nourishing lives and preserving the Earth for generations to come, all through inherently better food.
Value: 3.2
Unit: Ounce
",https://m.media-amazon.com/images/I/71RJ5KlOE0L.jpg,6.21,"Simply Organic Harissa Seasoning, 3.2 oz (91 g)",3.2,Ounce,$5-10,Simply Organic,Health & Wellness,1.940625,False,,True,False,False,False,False,False,False,False,3.0,False,47.0,8.0,True,Budget ($0-$10),True,1600,1600,RGB,1600,1600,1.0,2560000,215.346658984375,202.46516875,196.09431953125,204.635382421875,74.31754484197813
289793,"Item Name: Bionaturae Penne Rigate Pasta Noodles - Durum Semolina Pasta, Kosher, High Protein, Non-GMO Verified, USDA Certified, Durum Semolina Fusilli, Fusilli Pasta Organic, Crafted in Italy - 16 Oz, 6 Pack
Bullet Point 1: ORGANIC DURUM SEMOLINA - This pasta is made with organic durum wheat grown exclusively in Italy, which is freshly ground for each production
Bullet Point 2: NATURAL INGREDIENTS - Bionaturae's Durum Semolina Penne is made from the highest quality durum wheat semolina and uses only the finest ingredients
Bullet Point 3: QUICK AND EASY TO COOK - Our Durum Semolina Penne Pasta cooks quickly to provide you with a delicious al dente noodle that can be served with any sauce
Bullet Point 4: MADE THE TRADITIONAL ITALIAN WAY - Dried slowly at low temperatures to preserve a superior flavor & pressed through bronze dies for course & firm texture
Bullet Point 5: OUR STORY - Bionaturae is embraced by American consumers as the premier brand of organic foods from Italy. We have remained a family-oriented with a heartfelt devotion to quality and tradition
Value: 96.0
Unit: Ounce
",https://m.media-amazon.com/images/I/91BMf0byqtL.jpg,3.49,"Bionaturae Penne Rigate Pasta Noodles - Durum Semolina Pasta, Kosher, High Protein, Non-GMO Verified, USDA Certified, Durum Semolina Fusilli, Fusilli Pasta Organic, Crafted in Italy - 16 Oz, 6 Pack",96.0,Ounce,$0-5,Bionaturae Penne,Food & Beverage,0.0363541666666666,True,6.0,True,False,False,False,False,False,False,True,2.0,False,197.0,30.0,True,Budget ($0-$10),True,2560,2560,RGB,2560,2560,1.0,6553600,163.07590621948242,168.3767854309082,157.61765411376953,163.02344858805338,82.73803159208916
78307,"Item Name: Kashi GO, Breakfast Cereal, Honey Almond Flax Crunch, Excellent Source of Fiber, 14oz Box
Bullet Point 1: Kashi Breakfast Cereals are wholesome, powerful nutrition with a burst of flavor and crunch
Bullet Point 2: Crunchy multigrain clusters with sliced almonds, whole flax seeds, oats, and a touch of sweet honey in every bite
Bullet Point 3: An excellent source of fiber (contains 5g total fat per serving); Vegetarian; Non-GMO Project Verified; Kosher Pareve
Bullet Point 4: Makes for the perfect portable whole food snack at work, school or travel when you pack a small bag
Bullet Point 5: Includes 1, 14-ounce box of Kashi cereal; Packaged for freshness and great taste
Value: 14.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81o1nWoPkBL.jpg,6.04,"Kashi GO, Breakfast Cereal, Honey Almond Flax Crunch, Excellent Source of Fiber, 14oz Box",14.0,Ounce,$5-10,Kashi GO,Food & Beverage,0.4314285714285714,False,,False,False,False,False,False,False,False,False,1.0,False,89.0,14.0,True,Budget ($0-$10),True,2560,2560,RGB,2560,2560,1.0,6553600,244.14052291870118,228.69100799560547,201.05507247924805,224.62886779785157,65.18043957827537
